h2o,ex,peg,mdx,chi6,rep,activator,dCas9,5,8,9,11,12,14,15,17,18,19,20,21,22,23,0,mg,k,energy,slope,,0,19.7027027,4.379045662,,0,16.04054054,6.907714568
132.5,845,150,120,200,67.5,85,135,57.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,14.75675676,,5,18.32432432,1.93832969,,5,17.32432432,2.147586002
132.5,845,150,120,200,67.5,85,135,57.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,15.89189189,,8,155.3243243,1.156017698,,8,131.4414415,2.033797731
132.5,845,150,120,200,67.5,85,135,57.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,16.32432432,,9,192.1148649,20.58538291,,9,192.1148649,20.58538289
132.5,845,150,120,200,67.5,85,135,57.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,16.45945946,,11,282.1486486,28.14055754,,11,282.1486487,28.14055755
132.5,845,150,120,200,67.5,85,135,57.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,20.05405405,,12,266.1689189,22.93444603,,12,266.1689189,22.93444603
132.5,845,150,120,200,67.5,85,135,57.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,20.45945946,,14,261.6148649,10.05304367,,14,250.2972973,24.3557035
117.5,845,150,120,200,67.5,85,135,0,72.5,0,0,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,16.40540541,,15,246.7837838,11.770247,,15,243.2216216,27.63646848
117.5,845,150,120,200,67.5,85,135,0,72.5,0,0,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,150.9459459,,17,131.7094595,8.107170554,,17,131.7094595,8.107170572
117.5,845,150,120,200,67.5,85,135,0,72.5,0,0,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,154.2972973,,18,9.587837838,1.740399419,,18,8.202702703,2.524231243
117.5,845,150,120,200,67.5,85,135,0,72.5,0,0,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,154.3783784,,19,5.817567568,2.211958253,,19,5.036036036,2.123738926
117.5,845,150,120,200,67.5,85,135,0,72.5,0,0,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,155.4594595,,20,37.93243243,3.232329611,,20,32.28828829,10.44287936
117.5,845,150,120,200,67.5,85,135,0,72.5,0,0,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,157.1621622,,21,12.13513514,1.268400003,,21,9.067567568,4.59752821
135,845,150,120,200,67.5,85,135,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,11.89189189,,22,14.57432432,1.415036516,,22,12.82432432,3.085572432
135,845,150,120,200,67.5,85,135,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,118.8918919,,23,24.50675676,1.735145133,,23,19.45045045,7.644408253
135,845,150,120,200,67.5,85,135,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,157.2972973,,,,,,,,
135,845,150,120,200,67.5,85,135,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,199,,,,,,,,
135,845,150,120,200,67.5,85,135,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,201.3243243,,,,,,,,
135,845,150,120,200,67.5,85,135,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,210.8378378,,,,,,,,
122.5,845,150,120,200,67.5,85,135,0,0,0,67.5,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,14.43243243,,,,,,,,
122.5,845,150,120,200,67.5,85,135,0,0,0,67.5,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,17.18918919,,,,,,,,
122.5,845,150,120,200,67.5,85,135,0,0,0,67.5,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,239.4864865,,,,,,,,
122.5,845,150,120,200,67.5,85,135,0,0,0,67.5,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,278.2432432,,,,,,,,
122.5,845,150,120,200,67.5,85,135,0,0,0,67.5,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,294.2972973,,,,,,,,
122.5,845,150,120,200,67.5,85,135,0,0,0,67.5,0,0,0,0,0,0,0,0,0,0,0,45,52.5,110,316.5675676,,,,,,,,
132.5,845,150,120,200,67.5,85,135,0,0,0,0,57.5,0,0,0,0,0,0,0,0,0,0,45,52.5,110,14.18918919,,,,,,,,
132.5,845,150,120,200,67.5,85,135,0,0,0,0,57.5,0,0,0,0,0,0,0,0,0,0,45,52.5,110,14.48648649,,,,,,,,
132.5,845,150,120,200,67.5,85,135,0,0,0,0,57.5,0,0,0,0,0,0,0,0,0,0,45,52.5,110,249,,,,,,,,
132.5,845,150,120,200,67.5,85,135,0,0,0,0,57.5,0,0,0,0,0,0,0,0,0,0,45,52.5,110,250.3513514,,,,,,,,
132.5,845,150,120,200,67.5,85,135,0,0,0,0,57.5,0,0,0,0,0,0,0,0,0,0,45,52.5,110,260.1351351,,,,,,,,
132.5,845,150,120,200,67.5,85,135,0,0,0,0,57.5,0,0,0,0,0,0,0,0,0,0,45,52.5,110,305.1891892,,,,,,,,
117.5,845,150,120,200,67.5,85,135,0,0,0,0,0,72.5,0,0,0,0,0,0,0,0,0,45,52.5,110,24.89189189,,,,,,,,
117.5,845,150,120,200,67.5,85,135,0,0,0,0,0,72.5,0,0,0,0,0,0,0,0,0,45,52.5,110,205.027027,,,,,,,,
117.5,845,150,120,200,67.5,85,135,0,0,0,0,0,72.5,0,0,0,0,0,0,0,0,0,45,52.5,110,245.0810811,,,,,,,,
117.5,845,150,120,200,67.5,85,135,0,0,0,0,0,72.5,0,0,0,0,0,0,0,0,0,45,52.5,110,263.7837838,,,,,,,,
117.5,845,150,120,200,67.5,85,135,0,0,0,0,0,72.5,0,0,0,0,0,0,0,0,0,45,52.5,110,265.4054054,,,,,,,,
117.5,845,150,120,200,67.5,85,135,0,0,0,0,0,72.5,0,0,0,0,0,0,0,0,0,45,52.5,110,272.1891892,,,,,,,,
125,845,150,120,200,67.5,85,135,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,45,52.5,110,175.9189189,,,,,,,,
125,845,150,120,200,67.5,85,135,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,45,52.5,110,228.972973,,,,,,,,
125,845,150,120,200,67.5,85,135,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,45,52.5,110,235.972973,,,,,,,,
125,845,150,120,200,67.5,85,135,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,45,52.5,110,236.7027027,,,,,,,,
125,845,150,120,200,67.5,85,135,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,45,52.5,110,249.5675676,,,,,,,,
125,845,150,120,200,67.5,85,135,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,45,52.5,110,264.8918919,,,,,,,,
122.5,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,67.5,0,0,0,0,0,0,0,45,52.5,110,21,,,,,,,,
122.5,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,67.5,0,0,0,0,0,0,0,45,52.5,110,92.72972973,,,,,,,,
122.5,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,67.5,0,0,0,0,0,0,0,45,52.5,110,117.9459459,,,,,,,,
122.5,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,67.5,0,0,0,0,0,0,0,45,52.5,110,134.0810811,,,,,,,,
122.5,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,67.5,0,0,0,0,0,0,0,45,52.5,110,136.1891892,,,,,,,,
122.5,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,67.5,0,0,0,0,0,0,0,45,52.5,110,138.6216216,,,,,,,,
110,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,45,52.5,110,4.189189189,,,,,,,,
110,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,45,52.5,110,6.675675676,,,,,,,,
110,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,45,52.5,110,6.702702703,,,,,,,,
110,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,45,52.5,110,9.72972973,,,,,,,,
110,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,45,52.5,110,10.89189189,,,,,,,,
110,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,45,52.5,110,11.02702703,,,,,,,,
110,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,45,52.5,110,3.189189189,,,,,,,,
110,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,45,52.5,110,3.756756757,,,,,,,,
110,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,45,52.5,110,3.756756757,,,,,,,,
110,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,45,52.5,110,3.810810811,,,,,,,,
110,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,45,52.5,110,6.621621622,,,,,,,,
110,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,45,52.5,110,9.081081081,,,,,,,,
110,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,45,52.5,110,10.27027027,,,,,,,,
110,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,45,52.5,110,31.72972973,,,,,,,,
110,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,45,52.5,110,34.21621622,,,,,,,,
110,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,45,52.5,110,35.75675676,,,,,,,,
110,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,45,52.5,110,39.16216216,,,,,,,,
110,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,45,52.5,110,42.59459459,,,,,,,,
130,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,45,52.5,110,1,,,,,,,,
130,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,45,52.5,110,4.864864865,,,,,,,,
130,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,45,52.5,110,10.21621622,,,,,,,,
130,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,45,52.5,110,11.81081081,,,,,,,,
130,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,45,52.5,110,13,,,,,,,,
130,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,45,52.5,110,13.51351351,,,,,,,,
130,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,45,52.5,110,6.837837838,,,,,,,,
130,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,45,52.5,110,11.81081081,,,,,,,,
130,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,45,52.5,110,12.83783784,,,,,,,,
130,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,45,52.5,110,14.32432432,,,,,,,,
130,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,45,52.5,110,14.35135135,,,,,,,,
130,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,45,52.5,110,16.78378378,,,,,,,,
130,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,45,52.5,110,5.351351351,,,,,,,,
130,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,45,52.5,110,13.32432432,,,,,,,,
130,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,45,52.5,110,21.83783784,,,,,,,,
130,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,45,52.5,110,24.45945946,,,,,,,,
130,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,45,52.5,110,25.08108108,,,,,,,,
130,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,45,52.5,110,26.64864865,,,,,,,,
105,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,45,52.5,110,3.783783784,,,,,,,,
105,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,45,52.5,110,13.64864865,,,,,,,,
105,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,45,52.5,110,14.02702703,,,,,,,,
105,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,45,52.5,110,17.48648649,,,,,,,,
105,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,45,52.5,110,21.59459459,,,,,,,,
105,845,150,120,200,67.5,85,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,45,52.5,110,25.7027027,,,,,,,,
