h2o,ex,peg,mdx,chi6,rep,act,cas9,8,11,14,18,20,0,19,mg,k,energy,Intensity,,,,,,,,,,,,,,
162.5,845,150,120,200,90,85,67.5,72.5,0,0,0,0,0,0,45,52.5,110,5405,,7882,576.3095233,,,,,,,,,,,
162.5,845,150,120,200,90,85,67.5,72.5,0,0,0,0,0,0,45,52.5,110,7164,,,,,,,,,,,,,,
162.5,845,150,120,200,90,85,67.5,72.5,0,0,0,0,0,0,45,52.5,110,7907,,,,,,,,0,1101.25,91.0806648,1372.25,16.45258338,1504.5,148.1055367
162.5,845,150,120,200,90,85,67.5,72.5,0,0,0,0,0,0,45,52.5,110,8575,,,,,,,,8,7882,576.3095233,5499.75,326.1283298,6192,927.0625653
167.5,845,150,120,200,90,85,67.5,0,67.5,0,0,0,0,0,45,52.5,110,7161,,9632.666667,1650.366895,,,,,11,9632.666667,1650.366895,10266,1208.550371,11410,1167.490471
167.5,845,150,120,200,90,85,67.5,0,67.5,0,0,0,0,0,45,52.5,110,7553,,,,,,,,14,11330.33333,1084.274361,9044,394.0031726,10484,570.8572501
167.5,845,150,120,200,90,85,67.5,0,67.5,0,0,0,0,0,45,52.5,110,9755,,,,,,,,18,427.6666667,33.22983933,368.25,38.76451341,298.75,62.7231018
167.5,845,150,120,200,90,85,67.5,0,67.5,0,0,0,0,0,45,52.5,110,11590,,,,,,,,19,319,60.17889996,312,15.24795068,294.25,16.66395811
162.5,845,150,120,200,90,85,67.5,0,0,72.5,0,0,0,0,45,52.5,110,4654,,11330.33333,1084.274361,,,,,20,657,37.95391943,805,197.5689753,837.25,198.0913615
162.5,845,150,120,200,90,85,67.5,0,0,72.5,0,0,0,0,45,52.5,110,9904,,,,,,,,,,,,,,
162.5,845,150,120,200,90,85,67.5,0,0,72.5,0,0,0,0,45,52.5,110,11556,,,,,,,,,,,,,,
162.5,845,150,120,200,90,85,67.5,0,0,72.5,0,0,0,0,45,52.5,110,12531,,,,,,,,,,,,,,
155,845,150,120,200,90,85,67.5,0,0,0,80,0,0,0,45,52.5,110,392,,427.6666667,33.22983933,,,,,,,,,,,
155,845,150,120,200,90,85,67.5,0,0,0,80,0,0,0,45,52.5,110,419,,,,,,,,,,,,,,
155,845,150,120,200,90,85,67.5,0,0,0,80,0,0,0,45,52.5,110,472,,,,,,,,,,,,,,
155,845,150,120,200,90,85,67.5,0,0,0,80,0,0,0,45,52.5,110,7961,,,,,,,,,,,,,,
155,845,150,120,200,90,85,67.5,0,0,0,0,80,0,0,45,52.5,110,597,,657,37.95391943,,,,,,,,,,,
155,845,150,120,200,90,85,67.5,0,0,0,0,80,0,0,45,52.5,110,658,,,,,,,,,,,,,,
155,845,150,120,200,90,85,67.5,0,0,0,0,80,0,0,45,52.5,110,672,,,,,,,,,,,,,,
155,845,150,120,200,90,85,67.5,0,0,0,0,80,0,0,45,52.5,110,701,,,,,,,,,,,,,,
150,845,150,120,200,90,85,67.5,0,0,0,0,0,85,0,45,52.5,110,964,,1101.25,91.0806648,,,,,,,,,,,
150,845,150,120,200,90,85,67.5,0,0,0,0,0,85,0,45,52.5,110,1083,,,,,,,,,,,,,,
150,845,150,120,200,90,85,67.5,0,0,0,0,0,85,0,45,52.5,110,1148,,,,,,,,,,,,,,
150,845,150,120,200,90,85,67.5,0,0,0,0,0,85,0,45,52.5,110,1210,,,,,,,,,,,,,,
155,845,150,120,200,90,85,67.5,0,0,0,0,0,0,80,45,52.5,110,218,,319,60.17889996,,,,,,,,,,,
155,845,150,120,200,90,85,67.5,0,0,0,0,0,0,80,45,52.5,110,331,,,,,,,,,,,,,,
155,845,150,120,200,90,85,67.5,0,0,0,0,0,0,80,45,52.5,110,354,,,,,,,,,,,,,,
155,845,150,120,200,90,85,67.5,0,0,0,0,0,0,80,45,52.5,110,373,,,,,,,,,,,,,,
95,845,150,120,200,90,85,135,72.5,0,0,0,0,0,0,45,52.5,110,5037,,5499.75,326.1283298,,,,,,,,,,,
95,845,150,120,200,90,85,135,72.5,0,0,0,0,0,0,45,52.5,110,5390,,,,,,,,,,,,,,
95,845,150,120,200,90,85,135,72.5,0,0,0,0,0,0,45,52.5,110,5653,,,,,,,,,,,,,,
95,845,150,120,200,90,85,135,72.5,0,0,0,0,0,0,45,52.5,110,5919,,,,,,,,,,,,,,
100,845,150,120,200,90,85,135,0,67.5,0,0,0,0,0,45,52.5,110,343,,10266,1208.550371,,,,,,,,,,,
100,845,150,120,200,90,85,135,0,67.5,0,0,0,0,0,45,52.5,110,9392,,,,,,,,,,,,,,
100,845,150,120,200,90,85,135,0,67.5,0,0,0,0,0,45,52.5,110,9431,,,,,,,,,,,,,,
100,845,150,120,200,90,85,135,0,67.5,0,0,0,0,0,45,52.5,110,11975,,,,,,,,,,,,,,
95,845,150,120,200,90,85,135,0,0,72.5,0,0,0,0,45,52.5,110,8628,,9044,394.0031726,,,,,,,,,,,
95,845,150,120,200,90,85,135,0,0,72.5,0,0,0,0,45,52.5,110,8855,,,,,,,,,,,,,,
95,845,150,120,200,90,85,135,0,0,72.5,0,0,0,0,45,52.5,110,9008,,,,,,,,,,,,,,
95,845,150,120,200,90,85,135,0,0,72.5,0,0,0,0,45,52.5,110,9685,,,,,,,,,,,,,,
87.5,845,150,120,200,90,85,135,0,0,0,80,0,0,0,45,52.5,110,316,,368.25,38.76451341,,,,,,,,,,,
87.5,845,150,120,200,90,85,135,0,0,0,80,0,0,0,45,52.5,110,361,,,,,,,,,,,,,,
87.5,845,150,120,200,90,85,135,0,0,0,80,0,0,0,45,52.5,110,371,,,,,,,,,,,,,,
87.5,845,150,120,200,90,85,135,0,0,0,80,0,0,0,45,52.5,110,425,,,,,,,,,,,,,,
87.5,845,150,120,200,90,85,135,0,0,0,0,80,0,0,45,52.5,110,469,,805,197.5689753,,,,,,,,,,,
87.5,845,150,120,200,90,85,135,0,0,0,0,80,0,0,45,52.5,110,883,,,,,,,,,,,,,,
87.5,845,150,120,200,90,85,135,0,0,0,0,80,0,0,45,52.5,110,890,,,,,,,,,,,,,,
87.5,845,150,120,200,90,85,135,0,0,0,0,80,0,0,45,52.5,110,978,,,,,,,,,,,,,,
82.5,845,150,120,200,90,85,135,0,0,0,0,0,85,0,45,52.5,110,1349,,1372.25,16.45258338,,,,,,,,,,,
82.5,845,150,120,200,90,85,135,0,0,0,0,0,85,0,45,52.5,110,1365,,,,,,,,,,,,,,
82.5,845,150,120,200,90,85,135,0,0,0,0,0,85,0,45,52.5,110,1384,,,,,,,,,,,,,,
82.5,845,150,120,200,90,85,135,0,0,0,0,0,85,0,45,52.5,110,1391,,,,,,,,,,,,,,
87.5,845,150,120,200,90,85,135,0,0,0,0,0,0,80,45,52.5,110,299,,312,15.24795068,,,,,,,,,,,
87.5,845,150,120,200,90,85,135,0,0,0,0,0,0,80,45,52.5,110,305,,,,,,,,,,,,,,
87.5,845,150,120,200,90,85,135,0,0,0,0,0,0,80,45,52.5,110,306,,,,,,,,,,,,,,
87.5,845,150,120,200,90,85,135,0,0,0,0,0,0,80,45,52.5,110,338,,,,,,,,,,,,,,
25,845,150,120,200,90,85,205,72.5,0,0,0,0,0,0,45,52.5,110,5075,,6192,927.0625653,,,,,,,,,,,
25,845,150,120,200,90,85,205,72.5,0,0,0,0,0,0,45,52.5,110,5481,,,,,,,,,,,,,,
25,845,150,120,200,90,85,205,72.5,0,0,0,0,0,0,45,52.5,110,7023,,,,,,,,,,,,,,
25,845,150,120,200,90,85,205,72.5,0,0,0,0,0,0,45,52.5,110,7189,,,,,,,,,,,,,,
30,845,150,120,200,90,85,205,0,67.5,0,0,0,0,0,45,52.5,110,10242,,11410,1167.490471,,,,,,,,,,,
30,845,150,120,200,90,85,205,0,67.5,0,0,0,0,0,45,52.5,110,10522,,,,,,,,,,,,,,
30,845,150,120,200,90,85,205,0,67.5,0,0,0,0,0,45,52.5,110,11668,,,,,,,,,,,,,,
30,845,150,120,200,90,85,205,0,67.5,0,0,0,0,0,45,52.5,110,13208,,,,,,,,,,,,,,
25,845,150,120,200,90,85,205,0,0,72.5,0,0,0,0,45,52.5,110,7817,,10484,570.8572501,,,,,,,,,,,
25,845,150,120,200,90,85,205,0,0,72.5,0,0,0,0,45,52.5,110,9743,,,,,,,,,,,,,,
25,845,150,120,200,90,85,205,0,0,72.5,0,0,0,0,45,52.5,110,10577,,,,,,,,,,,,,,
25,845,150,120,200,90,85,205,0,0,72.5,0,0,0,0,45,52.5,110,11132,,,,,,,,,,,,,,
17.5,845,150,120,200,90,85,205,0,0,0,80,0,0,0,45,52.5,110,254,,298.75,62.7231018,,,,,,,,,,,
17.5,845,150,120,200,90,85,205,0,0,0,80,0,0,0,45,52.5,110,267,,,,,,,,,,,,,,
17.5,845,150,120,200,90,85,205,0,0,0,80,0,0,0,45,52.5,110,267,,,,,,,,,,,,,,
17.5,845,150,120,200,90,85,205,0,0,0,80,0,0,0,45,52.5,110,407,,,,,,,,,,,,,,
17.5,845,150,120,200,90,85,205,0,0,0,0,80,0,0,45,52.5,110,667,,837.25,198.0913615,,,,,,,,,,,
17.5,845,150,120,200,90,85,205,0,0,0,0,80,0,0,45,52.5,110,711,,,,,,,,,,,,,,
17.5,845,150,120,200,90,85,205,0,0,0,0,80,0,0,45,52.5,110,801,,,,,,,,,,,,,,
17.5,845,150,120,200,90,85,205,0,0,0,0,80,0,0,45,52.5,110,1170,,,,,,,,,,,,,,
12.5,845,150,120,200,90,85,205,0,0,0,0,0,85,0,45,52.5,110,1275,,1504.5,148.1055367,,,,,,,,,,,
12.5,845,150,120,200,90,85,205,0,0,0,0,0,85,0,45,52.5,110,1473,,,,,,,,,,,,,,
12.5,845,150,120,200,90,85,205,0,0,0,0,0,85,0,45,52.5,110,1632,,,,,,,,,,,,,,
12.5,845,150,120,200,90,85,205,0,0,0,0,0,85,0,45,52.5,110,1638,,,,,,,,,,,,,,
17.5,845,150,120,200,90,85,205,0,0,0,0,0,0,80,45,52.5,110,275,,294.25,16.66395811,,,,,,,,,,,
17.5,845,150,120,200,90,85,205,0,0,0,0,0,0,80,45,52.5,110,284,,,,,,,,,,,,,,
17.5,845,150,120,200,90,85,205,0,0,0,0,0,0,80,45,52.5,110,299,,,,,,,,,,,,,,
17.5,845,150,120,200,90,85,205,0,0,0,0,0,0,80,45,52.5,110,319,,,,,,,,,,,,,,
